iter	Passed	Remaining
419	2417	3337
420	2422	3331
421	2428	3325
422	2434	3320
423	2439	3314
424	2445	3308
425	2450	3302
426	2456	3296
427	2461	3290
428	2467	3284
429	2472	3277
430	2478	3272
431	2484	3266
432	2489	3260
433	2495	3254
434	2501	3248
435	2506	3242
436	2512	3237
437	2518	3231
438	2524	3225
439	2529	3219
440	2535	3213
441	2541	3207
442	2546	3202
443	2552	3196
444	2557	3190
445	2563	3184
446	2569	3178
447	2574	3172
448	2580	3166
449	2586	3161
450	2591	3155
451	2597	3149
452	2603	3143
453	2609	3137
454	2614	3131
455	2620	3126
456	2625	3120
457	2632	3114
458	2637	3109
459	2643	3103
460	2649	3097
461	2654	3091
462	2660	3085
463	2665	3079
464	2671	3073
465	2677	3067
466	2682	3062
467	2688	3055
468	2694	3050
469	2700	3045
470	2705	3039
471	2711	3033
472	2717	3027
473	2722	3021
474	2728	3015
475	2733	3009
476	2739	3003
477	2744	2997
478	2750	2991
479	2755	2985
480	2761	2979
481	2767	2973
482	2772	2967
483	2778	2961
484	2783	2955
485	2789	2949
486	2794	2944
487	2800	2938
488	2805	2932
489	2812	2927
490	2818	2921
491	2824	2915
492	2829	2910
493	2835	2904
494	2840	2898
495	2846	2892
496	2851	2886
497	2857	2880
498	2863	2874
499	2868	2868
500	2875	2863
501	2880	2857
502	2886	2851
503	2891	2846
504	2897	2840
505	2903	2834
506	2909	2828
507	2914	2823
508	2920	2816
509	2925	2810
510	2931	2804
511	2936	2798
512	2942	2793
513	2947	2787
514	2953	2781
515	2958	2775
516	2964	2769
517	2970	2763
518	2976	2758
519	2981	2752
520	2987	2746
521	2993	2741
522	2999	2735
523	3004	2729
524	3010	2723
525	3016	2717
526	3021	2712
527	3027	2706
528	3033	2700
529	3039	2695
530	3044	2689
531	3050	2683
532	3055	2677
533	3061	2671
534	3066	2665
535	3072	2659
536	3078	2653
537	3083	2647
538	3088	2641
539	3094	2636
540	3100	2630
541	3106	2624
542	3111	2618
543	3117	2612
544	3122	2607
545	3128	2601
546	3133	2595
547	3139	2589
548	3145	2583
549	3150	2577
550	3156	2572
551	3162	2566
552	3168	2560
553	3174	2555
554	3179	2549
555	3185	2543
556	3191	2538
557	3197	2532
558	3202	2526
559	3208	2521
560	3214	2515
561	3219	2509
562	3225	2503
563	3231	2497
564	3236	2492
565	3242	2486
566	3247	2480
567	3253	2474
568	3259	2468
569	3265	2463
570	3271	2457
571	3277	2452
572	3282	2446
573	3288	2440
574	3293	2434
575	3299	2428
576	3304	2422
577	3310	2417
578	3316	2411
579	3321	2405
580	3326	2399
581	3332	2393
582	3338	2387
583	3343	2381
584	3349	2375
585	3354	2370
586	3360	2364
587	3365	2358
588	3371	2352
589	3376	2346
590	3383	2341
591	3388	2335
592	3394	2329
593	3399	2323
594	3405	2317
595	3411	2312
596	3416	2306
597	3422	2300
598	3427	2294
599	3433	2289
600	3439	2283
601	3444	2277
602	3450	2271
603	3456	2266
604	3462	2260
605	3467	2254
606	3473	2248
607	3479	2243
608	3484	2237
609	3490	2231
610	3496	2225
611	3501	2219
612	3506	2213
613	3512	2208
614	3517	2202
615	3523	2196
616	3529	2190
617	3534	2184
618	3540	2178
619	3545	2173
620	3551	2167
621	3557	2161
622	3562	2155
623	3568	2149
624	3573	2144
625	3579	2138
626	3584	2132
627	3591	2127
628	3596	2121
629	3603	2116
630	3609	2110
631	3615	2104
632	3620	2099
633	3625	2093
634	3631	2087
635	3636	2081
636	3642	2075
637	3647	2069
638	3653	2063
639	3658	2057
640	3664	2052
641	3669	2046
642	3675	2040
643	3680	2034
644	3686	2028
645	3692	2023
646	3697	2017
647	3703	2011
648	3709	2006
649	3715	2000
650	3721	1995
651	3728	1989
652	3734	1984
653	3739	1978
654	3746	1973
655	3752	1967
656	3758	1962
657	3763	1956
658	3769	1950
659	3774	1944
660	3779	1938
661	3785	1932
662	3790	1926
663	3796	1920
664	3802	1915
665	3807	1909
666	3812	1903
667	3818	1897
668	3823	1891
